	Unnamed: 0	gene_id	gene_name
0	0.0	ENSG00000110881	ASIC1
1	1.0	ENSG00000117152	RGS4
2	2.0	ENSG00000143248	RGS5
3	3.0	ENSG00000182732	RGS6
4	4.0	ENSG00000182901	RGS7
5	5.0	ENSG00000108370	RGS9
6	6.0	ENSG00000112077	RHAG
7	7.0	ENSG00000103269	RHBDL1
8	8.0	ENSG00000188672	RHCE
9	9.0	ENSG00000187010	RHD
10	10.0	ENSG00000113916	BCL6
11	11.0	ENSG00000229927	RHEBP1
12	12.0	ENSG00000106615	RHEB
13	13.0	ENSG00000163914	RHO
14	14.0	ENSG00000185974	GRK1
15	15.0	ENSG00000152214	RIT2
16	16.0	ENSG00000204227	RING1
17	17.0	ENSG00000137275	RIPK1
18	18.0	ENSG00000161940	BCL6B
19	19.0	ENSG00000104312	RIPK2
20	20.0	ENSG00000129465	RIPK3
21	21.0	ENSG00000143622	RIT1
22	22.0	ENSG00000140522	RLBP1
23	23.0	ENSG00000117000	RLF
24	24.0	ENSG00000107018	RLN1
25	25.0	ENSG00000107014	RLN2
26	26.0	ENSG00000277027	RMRP
27	27.0	ENSG00000283293	RN7SK
28	28.0	ENSG00000276168	RN7SL1
29	29.0	ENSG00000263740	RN7SL4P
30	30.0	ENSG00000110987	BCL7A
31	31.0	ENSG00000265735	RN7SL5P
32	32.0	ENSG00000266794	RN7SL7P
33	33.0	ENSG00000243352	RN7SL8P
34	34.0	ENSG00000129538	RNASE1
35	35.0	ENSG00000169385	RNASE2
36	36.0	ENSG00000169397	RNASE3
37	37.0	ENSG00000258818	RNASE4
38	38.0	ENSG00000169413	RNASE6
39	39.0	ENSG00000265790	RNASEH1P1
40	40.0	ENSG00000106635	BCL7B
41	41.0	ENSG00000135828	RNASEL
42	42.0	ENSG00000022840	RNF10
43	43.0	ENSG00000123091	RNF11
44	44.0	ENSG00000082996	RNF13
45	45.0	ENSG00000013561	RNF14
46	46.0	ENSG00000112343	TRIM38
47	47.0	ENSG00000099385	BCL7C
48	48.0	ENSG00000132972	RNF17
49	49.0	ENSG00000121481	RNF2
50	50.0	ENSG00000155827	RNF20
51	51.0	ENSG00000258659	TRIM34
52	52.0	ENSG00000110171	TRIM3
53	53.0	ENSG00000204599	TRIM39
54	54.0	ENSG00000185619	PCGF3
55	55.0	ENSG00000063978	RNF4
56	56.0	ENSG00000204308	RNF5
57	57.0	ENSG00000127870	RNF6
58	58.0	ENSG00000258590	NBEAP1
59	59.0	ENSG00000114125	RNF7
60	60.0	ENSG00000112130	RNF8
61	61.0	ENSG00000204613	TRIM10
62	62.0	ENSG00000111880	RNGTT
63	63.0	ENSG00000023191	RNH1
64	64.0	ENSG00000101654	RNMT
65	65.0	ENSG00000176393	RNPEP
66	66.0	ENSG00000142327	RNPEPL1
67	67.0	ENSG00000116128	BCL9
68	68.0	ENSG00000205937	RNPS1
69	69.0	ENSG00000238578	SNORD4A
70	70.0	ENSG00000238597	SNORD4B
71	71.0	ENSG00000207500	SNORD102
72	72.0	ENSG00000213199	ASIC3
73	73.0	ENSG00000201348	RNU105B
74	74.0	ENSG00000199212	RNU105C
75	75.0	ENSG00000209042	SNORD12C
76	76.0	ENSG00000200320	SNORA63
77	77.0	ENSG00000202363	SNORA62
78	78.0	ENSG00000274978	RNU11
79	79.0	ENSG00000201659	RNU12-2P
80	80.0	ENSG00000238498	SNORD13P1
81	81.0	ENSG00000239128	SNORD13P3
82	82.0	ENSG00000272034	SNORD14A
83	83.0	ENSG00000206941	SNORD15A
84	84.0	ENSG00000274266	SNORA73A
85	85.0	ENSG00000200087	SNORA73B
86	86.0	ENSG00000242125	SNHG3
87	87.0	ENSG00000200959	SNORA74A
88	88.0	ENSG00000128617	OPN1SW
89	89.0	ENSG00000206652	RNU1-1
90	90.0	ENSG00000207005	RNU1-2
91	91.0	ENSG00000207389	RNU1-4
92	92.0	ENSG00000207513	RNU1-3
93	93.0	ENSG00000207340	RNVU1-1
94	94.0	ENSG00000206702	RNU1-11P
95	95.0	ENSG00000199629	RNU1-14P
96	96.0	ENSG00000186716	BCR
97	97.0	ENSG00000195024	RNU1-15P
98	98.0	ENSG00000207280	SNORD20
99	99.0	ENSG00000206680	SNORD21
100	100.0	ENSG00000277194	SNORD22
101	101.0	ENSG00000206611	SNORD24
102	102.0	ENSG00000275043	SNORD25
103	103.0	ENSG00000276788	SNORD26
104	104.0	ENSG00000275996	SNORD27
105	105.0	ENSG00000169668	BCRP2
106	106.0	ENSG00000274544	SNORD28
107	107.0	ENSG00000222328	RNU2-2P
108	108.0	ENSG00000222076	RNU2-3P
109	109.0	ENSG00000277084	RNU2-4P
110	110.0	ENSG00000222465	RNU2-5P
111	111.0	ENSG00000277846	SNORD30
112	112.0	ENSG00000201675	SNORD32A
113	113.0	ENSG00000215481	BCRP3
114	114.0	ENSG00000199631	SNORD33
115	115.0	ENSG00000202503	SNORD34
116	116.0	ENSG00000200259	SNORD35A
117	117.0	ENSG00000199744	SNORD36A
118	118.0	ENSG00000200831	SNORD36B
119	119.0	ENSG00000252542	SNORD36C
120	120.0	ENSG00000206775	SNORD37
121	121.0	ENSG00000265185	SNORD3B-1
122	122.0	ENSG00000215456	BCRP4
123	123.0	ENSG00000200318	SNORD3P1
124	124.0	ENSG00000209702	SNORD41
125	125.0	ENSG00000235062	BCRP5
126	126.0	ENSG00000238649	SNORD42A
127	127.0	ENSG00000238423	SNORD42B
128	128.0	ENSG00000263764	SNORD43
129	129.0	ENSG00000207241	SNORD45A
130	130.0	ENSG00000201487	SNORD45B
131	131.0	ENSG00000200913	SNORD46
132	132.0	ENSG00000201823	SNORD48
133	133.0	ENSG00000277370	SNORD49A
134	134.0	ENSG00000200795	RNU4-1
135	135.0	ENSG00000202538	RNU4-2
136	136.0	ENSG00000201628	RNU4-7P
137	137.0	ENSG00000201806	RNU4-8P
138	138.0	ENSG00000201458	RNU4-4P
139	139.0	ENSG00000272160	RNU4-5P
140	140.0	ENSG00000222736	RNU4-6P
141	141.0	ENSG00000119946	CNNM1
142	142.0	ENSG00000074582	BCS1L
143	143.0	ENSG00000207047	SNORD51
144	144.0	ENSG00000201754	SNORD52
145	145.0	ENSG00000265145	SNORD53
146	146.0	ENSG00000238650	SNORD54
147	147.0	ENSG00000264294	SNORD55
148	148.0	ENSG00000229686	SNORD56
149	149.0	ENSG00000226572	SNORD57
150	150.0	ENSG00000206602	SNORD58A
151	151.0	ENSG00000271982	SNORD58B
152	152.0	ENSG00000207031	SNORD59A
153	153.0	ENSG00000199568	RNU5A-1
154	154.0	ENSG00000200156	RNU5B-1
155	155.0	ENSG00000200169	RNU5D-1
156	156.0	ENSG00000199347	RNU5E-1
157	157.0	ENSG00000199377	RNU5F-1
158	158.0	ENSG00000206630	SNORD60
159	159.0	ENSG00000206979	SNORD61
160	160.0	ENSG00000235284	SNORD62A
161	161.0	ENSG00000236824	BCYRN1
162	162.0	ENSG00000206989	SNORD63
163	163.0	ENSG00000207405	SNORA64
164	164.0	ENSG00000201302	SNORA65
165	165.0	ENSG00000207523	SNORA66
166	166.0	ENSG00000277985	SNORA67
167	167.0	ENSG00000207166	SNORA68
168	168.0	ENSG00000206622	SNORA69
169	169.0	ENSG00000206625	RNU6-1
170	170.0	ENSG00000272055	RNU6-6P
171	171.0	ENSG00000199226	RNU6-50P
172	172.0	ENSG00000206832	RNU6V
173	173.0	ENSG00000207165	SNORA70
174	174.0	ENSG00000225091	SNORA71A
175	175.0	ENSG00000235408	SNORA71B
176	176.0	ENSG00000207067	SNORA72
177	177.0	ENSG00000208797	SNORD73A
178	178.0	ENSG00000239078	RNU7-55P
179	179.0	ENSG00000202400	SNORD82
180	180.0	ENSG00000164902	PHAX
181	181.0	ENSG00000201098	RNY1
182	182.0	ENSG00000202354	RNY3
183	183.0	ENSG00000252316	RNY4
184	184.0	ENSG00000202124	RNY4P3
185	185.0	ENSG00000169855	ROBO1
186	186.0	ENSG00000185008	ROBO2
187	187.0	ENSG00000067900	ROCK1
188	188.0	ENSG00000134318	ROCK2
189	189.0	ENSG00000119314	PTBP3
190	190.0	ENSG00000149489	ROM1
191	191.0	ENSG00000185483	ROR1
192	192.0	ENSG00000169071	ROR2
193	193.0	ENSG00000069667	RORA
194	194.0	ENSG00000198963	RORB
195	195.0	ENSG00000143365	RORC
196	196.0	ENSG00000047936	ROS1
197	197.0	ENSG00000104237	RP1
198	198.0	ENSG00000161267	BDH1
199	199.0	ENSG00000102218	RP2
200	200.0	ENSG00000164610	RP9
201	201.0	ENSG00000132383	RPA1
202	202.0	ENSG00000100739	BDKRB1
203	203.0	ENSG00000117748	RPA2
204	204.0	ENSG00000106399	RPA3
205	205.0	ENSG00000197713	RPE
206	206.0	ENSG00000116745	RPE65
207	207.0	ENSG00000156313	RPGR
208	208.0	ENSG00000181031	RPH3AL
209	209.0	ENSG00000153574	RPIA
210	210.0	ENSG00000147403	RPL10
211	211.0	ENSG00000198755	RPL10A
212	212.0	ENSG00000148842	CNNM2
213	213.0	ENSG00000168398	BDKRB2
214	214.0	ENSG00000217026	RPL10P1
215	215.0	ENSG00000142676	RPL11
216	216.0	ENSG00000197958	RPL12
217	217.0	ENSG00000167526	RPL13
218	218.0	ENSG00000142541	RPL13A
219	219.0	ENSG00000188846	RPL14
220	220.0	ENSG00000174748	RPL15
221	221.0	ENSG00000265681	RPL17
222	222.0	ENSG00000063177	RPL18
223	223.0	ENSG00000105640	RPL18A
224	224.0	ENSG00000108298	RPL19
225	225.0	ENSG00000122026	RPL21
226	226.0	ENSG00000214760	RPL21P1
227	227.0	ENSG00000116251	RPL22
228	228.0	ENSG00000125691	RPL23
229	229.0	ENSG00000198242	RPL23A
230	230.0	ENSG00000239257	RPL23AP1
231	231.0	ENSG00000225067	RPL23AP2
232	232.0	ENSG00000214914	RPL23AP3
233	233.0	ENSG00000212932	RPL23AP4
234	234.0	ENSG00000214026	MRPL23
235	235.0	ENSG00000176054	RPL23P2
236	236.0	ENSG00000114391	RPL24
237	237.0	ENSG00000161970	RPL26
238	238.0	ENSG00000131469	RPL27
239	239.0	ENSG00000166441	RPL27A
240	240.0	ENSG00000176697	BDNF
241	241.0	ENSG00000108107	RPL28
242	242.0	ENSG00000162244	RPL29
243	243.0	ENSG00000100316	RPL3
244	244.0	ENSG00000156482	RPL30
245	245.0	ENSG00000071082	RPL31
246	246.0	ENSG00000214326	RPL31P1
247	247.0	ENSG00000144713	RPL32
248	248.0	ENSG00000243761	RPL32P4
249	249.0	ENSG00000236325	RPL32P5
250	250.0	ENSG00000224796	RPL32P1
251	251.0	ENSG00000126581	BECN1
252	252.0	ENSG00000109475	RPL34
253	253.0	ENSG00000237049	RPL34P1
254	254.0	ENSG00000223671	RPL34P3
255	255.0	ENSG00000136942	RPL35
256	256.0	ENSG00000182899	RPL35A
257	257.0	ENSG00000165502	RPL36AL
258	258.0	ENSG00000145592	RPL37
259	259.0	ENSG00000197756	RPL37A
260	260.0	ENSG00000172809	RPL38
261	261.0	ENSG00000198918	RPL39
262	262.0	ENSG00000140986	RPL3L
263	263.0	ENSG00000228149	RPL3P1
264	264.0	ENSG00000174444	RPL4
265	265.0	ENSG00000229117	RPL41
266	266.0	ENSG00000256393	RPL41P5
267	267.0	ENSG00000227063	RPL41P1
268	268.0	ENSG00000256338	RPL41P2
269	269.0	ENSG00000241343	RPL36A
270	270.0	ENSG00000133169	BEX1
271	271.0	ENSG00000122406	RPL5
272	272.0	ENSG00000241061	RPL5P1
273	273.0	ENSG00000089009	RPL6
274	274.0	ENSG00000147604	RPL7
275	275.0	ENSG00000148303	RPL7A
276	276.0	ENSG00000214485	RPL7P1
277	277.0	ENSG00000161016	RPL8
278	278.0	ENSG00000163682	RPL9
279	279.0	ENSG00000243649	CFB
280	280.0	ENSG00000089157	RPLP0
281	281.0	ENSG00000137818	RPLP1
282	282.0	ENSG00000177600	RPLP2
283	283.0	ENSG00000262814	MRPL12
284	284.0	ENSG00000114686	MRPL3
285	285.0	ENSG00000128626	MRPS12
286	286.0	ENSG00000163902	RPN1
287	287.0	ENSG00000118705	RPN2
288	288.0	ENSG00000124614	RPS10
289	289.0	ENSG00000142534	RPS11
290	290.0	ENSG00000112306	RPS12
291	291.0	ENSG00000110700	RPS13
292	292.0	ENSG00000164587	RPS14
293	293.0	ENSG00000115268	RPS15
294	294.0	ENSG00000134419	RPS15A
295	295.0	ENSG00000105193	RPS16
296	296.0	ENSG00000182774	RPS17
297	297.0	ENSG00000197575	RPS17P2
298	298.0	ENSG00000168763	CNNM3
299	299.0	ENSG00000125864	BFSP1
300	300.0	ENSG00000231500	RPS18
301	301.0	ENSG00000105372	RPS19
302	302.0	ENSG00000140988	RPS2
303	303.0	ENSG00000008988	RPS20
304	304.0	ENSG00000241907	RPS20P4
305	305.0	ENSG00000229761	RPS20P1
306	306.0	ENSG00000171858	RPS21
307	307.0	ENSG00000170819	BFSP2
308	308.0	ENSG00000186468	RPS23
309	309.0	ENSG00000138326	RPS24
310	310.0	ENSG00000236477	RPS24P1
311	311.0	ENSG00000118181	RPS25
312	312.0	ENSG00000197728	RPS26
313	313.0	ENSG00000177954	RPS27
314	314.0	ENSG00000143947	RPS27A
315	315.0	ENSG00000233927	RPS28
316	316.0	ENSG00000213741	RPS29
317	317.0	ENSG00000149273	RPS3
318	318.0	ENSG00000145425	RPS3A
319	319.0	ENSG00000233206	RPS3AP1
320	320.0	ENSG00000198034	RPS4X
321	321.0	ENSG00000129824	RPS4Y1
322	322.0	ENSG00000083845	RPS5
323	323.0	ENSG00000215088	RPS5P3
324	324.0	ENSG00000137154	RPS6
325	325.0	ENSG00000242252	BGLAP
